Date, MaxTemperature, MinTemperature, AvgTemperature
7/6/2011,90,69,79.5
7/7/2011,89,68,78.5
7/8/2011,89,65,77
7/9/2011,91,66,78.5
7/10/2011,92,67,79.5
7/11/2011,98,74,86
7/12/2011,93,74,83.5
7/13/2011,82,63,72.5
7/14/2011,84,60,72
7/15/2011,85,64,74.5
7/16/2011,88,68,78
7/17/2011,94,67,80.5
7/18/2011,93,74,83.5
7/19/2011,100,76,88
7/20/2011,98,78,88
7/21/2011,101,76,88.5
7/22/2011,100,76,88
7/23/2011,97,77,87
7/24/2011,87,71,79
7/25/2011,91,70,80.5
7/26/2011,95,71,83
7/27/2011,93,70,81.5
7/28/2011,96,73,84.5
7/29/2011,88,72,80
7/30/2011,89,71,80
7/31/2011,94,72,83
8/1/2011,94,70,82
8/2/2011,97,72,84.5
8/3/2011,93,71,82
8/4/2011,89,65,77
8/5/2011,90,72,81
8/6/2011,87,70,78.5
8/7/2011,92,71,81.5
8/8/2011,87,67,77
8/9/2011,90,66,78
8/10/2011,82,60,71
8/11/2011,82,55,68.5
8/12/2011,87,57,72
8/13/2011,89,60,74.5
8/14/2011,79,62,70.5
8/15/2011,83,61,72
8/16/2011,84,56,70
8/17/2011,89,60,74.5
8/18/2011,91,66,78.5
8/19/2011,92,67,79.5
8/20/2011,89,65,77
8/21/2011,87,63,75
8/22/2011,87,59,73
8/23/2011,83,59,71
8/24/2011,96,71,83.5
8/25/2011,86,63,74.5
8/26/2011,86,59,72.5
8/27/2011,88,63,75.5
8/28/2011,82,60,71
8/29/2011,83,61,72
8/30/2011,85,57,71
8/31/2011,98,63,80.5
9/1/2011,102,73,87.5
9/2/2011,101,69,85
9/3/2011,99,68,83.5
9/4/2011,78,59,68.5
9/5/2011,72,51,61.5
9/6/2011,73,47,60
9/7/2011,76,49,62.5
9/8/2011,72,54,63
9/9/2011,69,58,63.5
9/10/2011,76,56,66
9/11/2011,83,60,71.5
9/12/2011,88,55,71.5
9/13/2011,88,60,74
9/14/2011,70,47,58.5
9/15/2011,64,41,52.5
